link,price,rooms,area_m2,land_area_sot,floor,has_document,address,temirli,qaz,su,isiq,avtodayanacaq,telefon,internet,pvc_pencere,balkon,kabel_tv,lift,kombi,metbex_mebeli,temirsiz,merkezi_qizdirici_sistem,kondisioner,esyali,hovuz,duzelme
https://arenda.az/satilir-1-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-478,43000,1,54,,6,No,"Bakı, Abşeron, Masazır",No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-4085,92000,2,73,,3,No,Xırdalan,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No
https://arenda.az/satilir-2-otaqli-kohne-tikili-suraxani-rayonu-yeni-gunesli-qes-suraxani-r-yeni-gunesli-qes-v-massivi,150000,2,65,,8,Yes,"Bakı, Suraxanı, Yeni Günəşli qəs.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-406,158200,3,123,,7,No,Xırdalan,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-xirdalan-aaaf-park-144,89000,2,65,,4,No,Xırdalan,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-xetai-rayonu-ehmedli-metrosu-asiq-elesger-kuc-4,235000,3,88,,12,Yes,"Bakı, Xətai, metro Əhmədli",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-ebdulvahab-salamzade-kucesi-21,260000,3,100,,14,Yes,"Bakı, Yasamal, metro İnşaatçılar",Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xetai-rayonu-hezi-aslanov-metrosu-ehmedli-sadiqcan-kucesi-52,164000,2,82,,2,No,"Bakı, Xətai, Əhmədli, metro Həzi Aslanov",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-xirdalan-s-blue-city-yasayis-kompleksi-1,129000,3,89,,11,No,Xırdalan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-5-otaqli-yeni-tikili-nesimi-rayonu-8-noyabr-metrosu-hesen-eliyev-kuc-2,605000,5,285,,13,Yes,"Bakı, Nəsimi, metro 8 Noyabr",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
